"","Site","Plot","richness","area","source.diversity.trt","species.richness.trt"
"128","Field Lab","Plot1",9,5,"Local","Low"
"129","No Till","Plot1",28,5,"Southern","High"
"130","No Till","Plot1",23,5,"Southern","Low"
"131","Pothole","Plot1",22,5,"High","High"
"132","Pothole","Plot1",10,5,"High","Low"
"133","Reed Canary","Plot1",12,5,"High","High"
"134","Reed Canary","Plot1",14,5,"High","Low"
"135","Soil Pit","Plot1",18,5,"Midwest","High"
"136","Soil Pit","Plot1",19,5,"Midwest","Low"
"137","Spruce Lodge","Plot1",11,5,"High","Low"
"138","Spruce Lodge","Plot1",20,5,"High","High"
"139","Succession","Plot1",31,5,"Local","High"
"140","Succession","Plot1",22,5,"Local","Low"
"141","Water Tower","Plot1",25,5,"High","Low"
"142","Water Tower","Plot1",21,5,"High","High"
"143","Wetland","Plot1",8,5,"High","High"
"144","Wetland","Plot1",13,5,"High","Low"
"145","Barn N","Plot2",11,5,"Southern","Low"
"146","Barn N","Plot2",12,5,"Southern","High"
"147","Barn South","Plot2",14,5,"High","Low"
"148","Barn South","Plot2",10,5,"High","High"
"149","Duck Lake","Plot2",17,5,"Midwest","High"
"150","Duck Lake","Plot2",16,5,"Midwest","Low"
"151","Field Lab","Plot2",15,5,"Local","High"
"152","Field Lab","Plot2",13,5,"Local","Low"
"153","No Till","Plot2",17,5,"Southern","High"
"154","No Till","Plot2",20,5,"Southern","Low"
"155","Pothole","Plot2",15,5,"High","High"
"156","Pothole","Plot2",10,5,"High","Low"
"157","Reed Canary","Plot2",16,5,"High","High"
"158","Reed Canary","Plot2",18,5,"High","Low"
"159","Soil Pit","Plot2",15,5,"Midwest","High"
"160","Soil Pit","Plot2",24,5,"Midwest","Low"
"161","Spruce Lodge","Plot2",16,5,"High","Low"
"162","Spruce Lodge","Plot2",18,5,"High","High"
"163","Succession","Plot2",23,5,"Local","High"
"164","Succession","Plot2",18,5,"Local","Low"
"165","Water Tower","Plot2",26,5,"High","Low"
"166","Water Tower","Plot2",23,5,"High","High"
"167","Wetland","Plot2",12,5,"High","High"
"168","Wetland","Plot2",22,5,"High","Low"
"169","Barn N","Plot3",14,5,"Southern","Low"
"170","Barn N","Plot3",9,5,"Southern","High"
"171","Barn South","Plot3",16,5,"High","Low"
"172","Barn South","Plot3",10,5,"High","High"
"173","Duck Lake","Plot3",19,5,"Midwest","High"
"174","Duck Lake","Plot3",16,5,"Midwest","Low"
"175","Field Lab","Plot3",13,5,"Local","High"
"176","Field Lab","Plot3",6,5,"Local","Low"
"177","No Till","Plot3",16,5,"Southern","High"
"178","No Till","Plot3",18,5,"Southern","Low"
"179","Pothole","Plot3",22,5,"High","High"
"180","Pothole","Plot3",10,5,"High","Low"
"181","Reed Canary","Plot3",31,5,"High","High"
"182","Reed Canary","Plot3",19,5,"High","Low"
"183","Soil Pit","Plot3",19,5,"Midwest","High"
"184","Soil Pit","Plot3",19,5,"Midwest","Low"
"185","Spruce Lodge","Plot3",16,5,"High","Low"
"186","Spruce Lodge","Plot3",16,5,"High","High"
"187","Succession","Plot3",18,5,"Local","High"
"188","Succession","Plot3",22,5,"Local","Low"
"189","Water Tower","Plot3",20,5,"High","Low"
"190","Water Tower","Plot3",16,5,"High","High"
"191","Wetland","Plot3",8,5,"High","High"
"192","Wetland","Plot3",16,5,"High","Low"
"193","Barn N","Plot4",12,5,"Southern","Low"
"194","Barn N","Plot4",8,5,"Southern","High"
"195","Barn South","Plot4",13,5,"High","Low"
"196","Barn South","Plot4",6,5,"High","High"
"197","Duck Lake","Plot4",17,5,"Midwest","High"
